,,A,Created,Company Name,Reason
7,6,,27/03/2024 12:07:41,99,"Fui demitida da noite pro dia com a cara de pau de dizerem que não precisavam mais de mim pois já tinham sugado todo meu conhecimento estratégico, e agora precisavam de gente pra executar e não pensar"
8,7,,27/03/2024 12:08:48,99,Completamente delulus e absurdamente fora da realidade. Acham que são incríveis fazendo o mínimo e o básico pra funcionários e motoristas.
9,8,,27/03/2024 12:10:07,99,"Sabem o caso da moça que foi estuprada em BH pq o motorista da 99 tirou ela do carro desacordada e ABANDONOU ela na rua? Pois então: a 99 PAGOU ADVOGADO PARA DEFENDER O MOTORISTA e livrar ele da acusação de abandono de incapaz, sem contar que tirou o cu da reta completamente, negando a responsabilidade"
10,9,,27/03/2024 17:52:41,99,"Passam pano para assédio, não importa quantas denúncias você faça"
11,10,,27/03/2024 18:25:46,99,"Sistema de feedback e bonificação completamente injusto e sem cabimento. Fazem cálculos e usam fórmulas que ninguém entende o indicador só para pagarem menos bônus. A liderança faz ""calibração"" nas equipes e é obrigada a dar nota baixa para uma cota de pessoas do time, por mais que ela tenha se dedicado."
12,11,,27/03/2024 18:41:09,99,"Contratam funcionários em sistema de terceirizado que são menosprezados e sem benefício algum, mas exigem a mesma performance de um contratado normal"
13,12,,27/03/2024 22:16:28,99,Racismo
14,13,,27/03/2024 22:18:14,99,"Gestor praticou assedio sexual, massageando o penis durante um 1:1 e ao ser denunciado a empresa não tomou nenhuma providência e demitiu a pessoa que fez a denúncia!"
15,14,,27/03/2024 16:52:11,falcão transportes,"Empresa tem um ambiente de 5ª serie para trabalhar, sempre que alguma coisa que possa haver interpretação para piada o fazem, além de só valorizarem quem é da panela da gerência."
16,15,,27/03/2024 15:20:59,centrotec contabilidade rio claro,"Acúmulo de função, Gestores abusivo e dona tbm"
17,16,,25/03/2024 17:31:26,grupofreela,chefe é um filinho de papai que fica brincando de ser empresario
18,17,,27/03/2024 12:36:54,nw vicentini - representação comercial,"Empresa arrombada que orienta os funcionários a não se filiar ao sindicato para não pagar os benefícios da CCT (VA, triênio e PLR), dono com mentalidade de funcionário, preguiçoso, larga tudo pros outros fazer e tem fortes tendências mitomaniacas, narcisistas e misóginas."
19,18,,27/03/2024 10:13:45,purple cow (purpple),essa agencia é uma piada
20,19,,27/03/2024 15:06:36,@ secret adm penitenciária governo de sp,"BASE DE ESCOLTA SANTANA TEM TURNOS ABUSIVOS DE TRABALHO ATÉ 18 HORAS SEM RECEBER H. EXTRA NEM BANCO DE HRS. ALIMENTAÇÃO NO LOCAL AZEDA E MAL FEITA. SEM VT E O VER É SÓ 200 REAIS. CULTURA DA OPRESSÃO PARECE QUE ESTAMOS NOS TEMPOS DA ESCRAVIDÃO,  O COMANDO MALUCO ROMANTIZA O BURNOUT E A DEPRESSÃO É VISTA COMO FRAQUEZA DO SERVIDOR.VÁRIAS DENUNCIAS, GOVERNADOR, SECRETÁRIO E DEPUTADOS SABEM E NGM RESOLVE. A FRASE POR LÁ É PEDE PRA SAIR."
21,20,,27/03/2024 09:49:47,/mottu,"Todos que você puder imaginar. Carga excessiva de trabalho (6 dias por semana, variando de 12 a 16h por dia), salário pífio, zero sentido gestão (cada dia era uma aleatoriedade diferente), ambiente hostil (cadeiras que te dão problema de coluna, barulho que te deixa surdo, sujeira, cheiro de fumaça de motor de moto), cobrança excessiva sobre nenhum tipo de indicador. Resumindo, fuja."
22,21,,25/03/2024 19:04:53,/r/brdev,Só tem frustrado arrogante e chupa rola de IA.
23,22,,25/03/2024 19:07:43,/r/brdev,como aprender a programar
24,23,,27/03/2024 15:14:57,/secretaria adm penitenciária gov sp,"BASE DE ESCOLTA SANTANA O COMANDO MALUCO COM SEU PANTERA NEGRA DA SHOPEE EXPLORAM E CAUSAM O ADOENCIMENTO DOS PROFISSIONAIS DE ESCOLTA, TURNOS DE TRABALHO ATÉ 18 HORAS SEM RECEBER H. EXTRA NEM BANCO DE HRS. ALIMENTAÇÃO NO LOCAL AZEDA E MAL FEITA. SEM VT E O VER É SÓ 200 REAIS. CULTURA DA OPRESSÃO PARECE QUE ESTAMOS NOS TEMPOS DA ESCRAVIDÃO,OU EM UM CAMPO DE CONCENTRAÇÃO."
